Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM	Tissue_specific
ENTPD8	NTPDase-8, UNQ2492	ENSG00000188833	Ectonucleoside triphosphate diphosphohydrolase 8	9	137434364-137441816	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA021509	Enhanced	NA	Approved	Nucleoplasm<br>Vesicles<br>Cytosol	Stomach cancer:7.17e-4 (favourable)	Mixed	Tissue enhanced	NA	colon: 21.7;duodenum: 28.7;small intestine: 31.6	rectum: 12.5	Cell line enhanced	NA	CAPAN-2: 4.8;RPMI-8226: 3.7;T-47d: 2.7	Colon
FAM3D	EF7, OIT1	ENSG00000198643	Family with sequence similarity 3 member D	3	58633946-58666848	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA013844	Approved	NA	NA	NA	Head and neck cancer:1.89e-4 (favourable), Breast cancer:7.51e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	colon: 318.5;rectum: 484.7	salivary gland: 191.6	Not detected	NA	NA	Colon
FCGBP	FC(GAMMA)BP	ENSG00000275395	Fc fragment of IgG binding protein	19	39863323-39934626	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA003517, HPA003564	Enhanced	NA	Approved	Golgi apparatus<br>Plasma membrane<br>Cytokinetic bridge	Ovarian cancer:9.70e-6 (unfavourable), Head and neck cancer:1.28e-5 (favourable), Liver cancer:4.74e-5 (unfavourable), Thyroid cancer:4.27e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	colon: 166.7	cervix, uterine: 83.5	Cell line enhanced	NA	A549: 2.7;RH-30: 6.8	Colon
FFAR4	GPR120, GPR129, O3FAR1, PGR4	ENSG00000186188	Free fatty acid receptor 4	10	93566665-93604480	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA042563	Uncertain	NA	Uncertain	Plasma membrane	NA	Tissue enhanced	Tissue enhanced	NA	colon: 8.4;rectum: 12.4	lung: 5.4	Cell line enhanced	NA	A549: 1.2;HaCaT: 2.0;NB-4: 1.6	Colon
FOXD2	FKHL17, FREAC9	ENSG00000186564	Forkhead box D2	1	47436017-47440691	Predicted intracellular proteins, Transcription factors	Evidence at protein level	NA	NA	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	colon: 3.4;rectum: 2.7	prostate: 1.1	Cell line enhanced	NA	AN3-CA: 11.3;WM-115: 17.4	Colon
FRMD1	bA164L23.1, DKFZp434O0117, FLJ00181, FLJ22615, FLJ40260	ENSG00000153303	FERM domain containing 1	6	168055745-168081557	Predicted intracellular proteins	Evidence at protein level	HPA030347	Supported	NA	Approved	Actin filaments	NA	Tissue enriched	Tissue enhanced	NA	colon: 5.8;stomach: 6.4;testis: 5.9	rectum: 4.6	Cell line enhanced	NA	K-562: 2.8	Colon
FUT3	CD174, LE	ENSG00000171124	Fucosyltransferase 3 (Lewis blood group)	19	5842888-5851474	Blood group antigen proteins, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA046966	Supported	NA	NA	NA	Renal cancer:8.22e-7 (favourable), Breast cancer:6.86e-4 (unfavourable)	Tissue enhanced	Tissue enhanced	NA	colon: 68.0;esophagus: 83.0;small intestine: 63.1	rectum: 49.4	Group enriched	5	A-431: 40.5;RH-30: 14.4	Colon
FXYD3	MAT-8, PLML	ENSG00000089356	FXYD domain containing ion transport regulator 3	19	35115879-35124324	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA010856	Enhanced	NA	NA	NA	Renal cancer:1.15e-6 (unfavourable)	Expressed in all	Tissue enhanced	NA	colon: 1455.6;rectum: 1952.1	stomach: 557.3	Cell line enhanced	NA	HaCaT: 792.6;hTCEpi: 1156.1;RT4: 686.4;SK-BR-3: 621.3;WM-115: 590.3	Colon
GCNT3	C2/4GnT, C2GnT-M, C2GnT2	ENSG00000140297	Glucosaminyl (N-acetyl) transferase 3, mucin type	15	59594875-59640239	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA011154	Enhanced	NA	Approved	Golgi apparatus<br>Vesicles	Liver cancer:6.49e-5 (unfavourable), Endometrial cancer:1.78e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	colon: 142.2;gallbladder: 118.0;rectum: 134.6;small intestine: 138.4	duodenum: 97.7	Cell line enriched	6	A549: 133.3	Colon
GPR15	NA	ENSG00000154165	G protein-coupled receptor 15	3	98531899-98533150	G-protein coupled receptors, Predicted membrane proteins	Evidence at transcript level	HPA013775	Approved	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	colon: 25.0;rectum: 46.8	urinary bladder: 18.4	Group enriched	22	HDLM-2: 5.6;U-266/70: 1.9	Colon
GUCA2B	NA	ENSG00000044012	Guanylate cyclase activator 2B	1	42153421-42155824	Plasma proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	colon: 87.6;small intestine: 148.3	duodenum: 37.5	Group enriched	6	A549: 1.3;CACO-2: 3.2	Colon
HEPACAM2	FLJ38683	ENSG00000188175	HEPACAM family member 2	7	93188586-93226524	Predicted membrane proteins	Evidence at protein level	NA	NA	NA	NA	NA	Colorectal cancer:9.73e-5 (favourable)	Mixed	Tissue enhanced	NA	colon: 64.3;rectum: 103.1;small intestine: 53.6	duodenum: 30.2	Cell line enriched	47	SCLC-21H: 202.2	Colon
HOXD12	HOX4H	ENSG00000170178	Homeobox D12	2	176099730-176101193	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059444	Uncertain	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	colon: 1.0;rectum: 1.1;seminal vesicle: 1.8	prostate: 0.8	Cell line enhanced	NA	REH: 2.3	Colon
HSD11B2	SDR9C3	ENSG00000176387	Hydroxysteroid 11-beta dehydrogenase 2	16	67430652-67437553	Disease related genes, Predicted membrane proteins	Evidence at protein level	CAB032443, HPA042186, HPA056385	Enhanced	NA	Approved	Vesicles	Renal cancer:9.51e-5 (favourable)	Expressed in all	Tissue enhanced	NA	colon: 151.6;kidney: 173.3	salivary gland: 122.5	Cell line enhanced	NA	NTERA-2: 11.4;RPMI-8226: 9.6;RT4: 11.0;SCLC-21H: 17.5;SK-BR-3: 10.0	Colon
ITLN1	FLJ20022, hIntL, HL-1, ITLN, LFR	ENSG00000179914	Intelectin 1	1	160876539-160885170	Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB012652, HPA063275, HPA067326	Enhanced	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	colon: 447.7;rectum: 1428.1;small intestine: 468.9	duodenum: 276.3	Cell line enhanced	NA	HEL: 2.3;HL-60: 1.5;U-937: 5.7	Colon
KLK15	ACO, HSRNASPH, prostinogen	ENSG00000174562	Kallikrein related peptidase 15	19	50825289-50837213	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA019802	Uncertain	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	colon: 3.2;salivary gland: 2.4	adrenal gland: 1.8	Cell line enriched	5	RPMI-8226: 1.7	Colon
KRT20	CK20, K20, MGC35423	ENSG00000171431	Keratin 20	17	40875941-40885227	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB000032, HPA024309, HPA024684, HPA027236	Enhanced	NA	Supported	Cytosol	Renal cancer:1.32e-4 (unfavourable), Liver cancer:7.05e-4 (unfavourable)	Group enriched	Tissue enhanced	NA	colon: 356.1;duodenum: 252.4;rectum: 295.3;small intestine: 499.6	stomach: 82.3	Cell line enhanced	NA	BEWO: 1.0;RT4: 2.3	Colon
LEFTY1	LEFTB, LEFTYB	ENSG00000243709	Left-right determination factor 1	1	225886282-225911382	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	HPA047883, HPA056210	Approved	NA	NA	NA	Renal cancer:2.48e-6 (unfavourable)	Tissue enhanced	Tissue enhanced	NA	colon: 58.4;pancreas: 20.4;rectum: 35.2	appendix: 9.6	Cell line enriched	7	NTERA-2: 50.6	Colon
LGALS4	GAL4	ENSG00000171747	Galectin 4	19	38801671-38813364	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB025653, HPA031184, HPA031185, HPA031186	Enhanced	NA	Uncertain	Plasma membrane	Renal cancer:2.28e-4 (unfavourable), Urothelial cancer:3.21e-4 (favourable)	Group enriched	Tissue enhanced	NA	colon: 736.0;duodenum: 526.9;rectum: 640.3;small intestine: 493.5	gallbladder: 138.8	Cell line enhanced	NA	CACO-2: 1.0;RT4: 2.2;SH-SY5Y: 1.0	Colon
LINC00675	NA	ENSG00000263429	Long intergenic non-protein coding RNA 675	17	10794913-10804099	Predicted membrane proteins	Evidence at transcript level	NA	NA	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	colon: 36.9;rectum: 40.8;stomach: 44.3	duodenum,small intestine: 18.3	Cell line enriched	8	RT4: 3.2	Colon
MAB21L2	NA	ENSG00000181541	Mab-21 like 2	4	150581922-150584693	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA049324, HPA059864	NA	NA	Enhanced	Nucleus<br>Cytosol	NA	Tissue enhanced	Tissue enhanced	NA	colon: 18.3;smooth muscle: 26.2	small intestine: 12.4	Group enriched	20	HHSteC: 4.9;SH-SY5Y: 16.0	Colon
MUC4	NA	ENSG00000145113	Mucin 4, cell surface associated	3	195746765-195812277	Predicted membrane proteins	Evidence at protein level	HPA005895, CAB013536	Approved	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	colon: 1.0	esophagus: 0.4	Not detected	NA	NA	Colon
NOXO1	P41NOXA, P41NOXB, P41NOXC, SH3PXD5, SNX28	ENSG00000196408	NADPH oxidase organizer 1	16	1978917-1984192	FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA071540	Enhanced	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	appendix: 6.3;colon: 7.4;rectum: 6.5	duodenum: 3.3	Cell line enhanced	NA	CAPAN-2: 2.4;HaCaT: 1.4;SCLC-21H: 1.6	Colon
NPY4R	PP1, PPYR1, Y4	ENSG00000204174	Neuropeptide Y receptor Y4	10	46461099-46465881	G-protein coupled receptors, Predicted membrane proteins	Evidence at transcript level	HPA027863	Approved	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	colon: 5.1;rectum: 6.9	skin: 3.6	Cell line enriched	5	A549: 26.3	Colon
NRARP	MGC61598	ENSG00000198435	NOTCH-regulated ankyrin repeat protein	9	137300482-137302251	Predicted intracellular proteins	Evidence at transcript level	HPA025729	Approved	NA	Approved	Nucleoplasm<br>Cytosol	Renal cancer:6.73e-6 (unfavourable)	Expressed in all	Tissue enhanced	NA	colon: 38.4	rectum: 22.0	Cell line enhanced	NA	HaCaT: 34.8;NTERA-2: 28.5;TIME: 23.6	Colon
NXPE2	FAM55B, FLJ25224	ENSG00000204361	Neurexophilin and PC-esterase domain family member 2	11	114678386-114706933	Predicted intracellular proteins	Evidence at protein level	HPA039744, HPA039876	Enhanced	NA	NA	NA	Colorectal cancer:9.29e-5 (favourable)	Tissue enhanced	Tissue enhanced	NA	colon: 9.5;epididymis: 30.3;rectum: 9.7	salivary gland: 8.2	Not detected	NA	NA	Colon
OTOP2	NA	ENSG00000183034	Otopetrin 2	17	74924275-74933912	Predicted membrane proteins	Evidence at transcript level	HPA024524, HPA053090	Uncertain	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	colon: 20.0;rectum: 11.4	testis: 3.9	Cell line enriched	50	HDLM-2: 9.6	Colon
PADI2	KIAA0994, PDI2	ENSG00000117115	Peptidyl arginine deiminase 2	1	17066761-17119435	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA047735	Enhanced	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	cerebral cortex: 85.0;colon: 89.8;rectum: 99.9;skeletal muscle: 108.6	breast: 48.8	Group enriched	5	A549: 10.4;RPTEC TERT1: 25.1;SK-BR-3: 38.1;T-47d: 13.1	Colon
PIGR	NA	ENSG00000162896	Polymeric immunoglobulin receptor	1	206928518-206946466	Cancer-related genes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA006154, CAB009454, HPA012012	Enhanced	NA	NA	NA	Breast cancer:1.22e-5 (favourable), Renal cancer:5.08e-5 (favourable), Endometrial cancer:2.57e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	colon: 1688.0;duodenum: 2659.3	rectum: 1335.9	Cell line enriched	7	EFO-21: 33.8	Colon
PIGZ	FLJ12768, MGC52163, SMP3	ENSG00000119227	Phosphatidylinositol glycan anchor biosynthesis class Z	3	196946343-196969060	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA058599, HPA059920	Approved	NA	Uncertain	Vesicles	Renal cancer:5.60e-5 (unfavourable)	Expressed in all	Tissue enhanced	NA	colon: 18.5;rectum: 18.1	cerebral cortex: 10.9	Mixed	NA	NA	Colon
PKIB	PRKACN2	ENSG00000135549	CAMP-dependent protein kinase inhibitor beta	6	122471917-122726373	Predicted intracellular proteins	Evidence at protein level	HPA030156	Approved	NA	NA	NA	Renal cancer:2.47e-7 (favourable), Liver cancer:4.72e-7 (unfavourable)	Expressed in all	Tissue enhanced	NA	colon: 89.1;placenta: 85.4	parathyroid gland: 78.0	Cell line enhanced	NA	AF22: 71.0;PC-3: 106.9;RPTEC TERT1: 141.0;SCLC-21H: 186.3	Colon
PLA2G10	GXPLA2	ENSG00000069764	Phospholipase A2 group X	16	14672545-14694669	Enzymes, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA041893	Uncertain	NA	NA	NA	Endometrial cancer:5.74e-5 (favourable)	Mixed	Tissue enhanced	NA	colon: 6.9;rectum: 6.5;stomach: 10.4	duodenum: 2.2	Cell line enhanced	NA	CAPAN-2: 1.3	Colon
PLA2G2A	PLA2B, PLA2L	ENSG00000188257	Phospholipase A2 group IIA	1	19975431-19980416	Enzymes, FDA approved drug targets, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA015236	Enhanced	NA	Uncertain	Nucleus<br>Nucleoli	Melanoma:1.49e-4 (favourable)	Expressed in all	Tissue enhanced	NA	colon: 108.4;rectum: 177.5;small intestine: 233.7	duodenum: 85.7	Group enriched	11	Hep G2: 50.2;RT4: 53.3	Colon
REP15	RAB15EP	ENSG00000174236	RAB15 effector protein	12	27696519-27697596	Predicted intracellular proteins	Evidence at protein level	HPA040448, HPA059868	Approved	NA	NA	NA	Colorectal cancer:9.43e-5 (favourable)	Mixed	Tissue enhanced	NA	colon: 39.7;rectum: 70.4;stomach: 82.2	small intestine: 39.4	Mixed	NA	NA	Colon
RETNLB	FIZZ2, HXCP2, RELMb	ENSG00000163515	Resistin like beta	3	108743424-108757384	Predicted secreted proteins	Evidence at transcript level	HPA049152	Approved	NA	NA	NA	Colorectal cancer:6.86e-5 (favourable)	Tissue enriched	Tissue enhanced	NA	colon: 73.5;rectum: 270.7	small intestine: 36.9	Not detected	NA	NA	Colon
RP11-599B13.6	NA	ENSG00000263620	NA	17	8150816-8162975	Predicted membrane proteins	Evidence at transcript level	NA	NA	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	colon: 5.2;spleen: 5.1;stomach: 4.5	adipose tissue: 3.8	Cell line enhanced	NA	HDLM-2: 28.8;HEK93: 11.5;REH: 14.0	Colon
RXFP4	GPCR142, GPR100, RLN3R2, RXFPR4	ENSG00000173080	Relaxin/insulin like family peptide receptor 4	1	155941710-155942949	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	colon: 2.0;duodenum: 1.4;rectum: 2.2	small intestine: 1.1	Not detected	NA	NA	Colon
SLC22A18AS	BWR1B, BWSCR1B, ORCTL2S, p27-BWR1B, SLC22A1LS	ENSG00000254827	Solute carrier family 22 member 18 antisense	11	2887780-2903740	Predicted intracellular proteins	Evidence at protein level	HPA068288	Enhanced	NA	Supported	Nucleoplasm	NA	Mixed	Tissue enhanced	NA	colon: 14.4;duodenum: 13.5	small intestine: 11.0	Cell line enhanced	NA	A549: 8.7;CAPAN-2: 8.3;MCF7: 14.0;SK-MEL-30: 26.1;WM-115: 14.7	Colon
SLC26A2	DTD, DTDST	ENSG00000155850	Solute carrier family 26 member 2	5	149960737-149993455	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA041957, HPA058090	Enhanced	NA	Approved	Vesicles	Renal cancer:3.27e-4 (unfavourable), Liver cancer:4.66e-4 (unfavourable), Endometrial cancer:7.29e-4 (favourable)	Expressed in all	Tissue enhanced	NA	colon: 213.0;rectum: 207.1	parathyroid gland: 82.7	Expressed in all	NA	NA	Colon
SLC26A3	CLD, DRA	ENSG00000091138	Solute carrier family 26 member 3	7	107765467-107803225	Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA036055	Approved	NA	NA	NA	NA	Tissue enriched	Tissue enhanced	NA	colon: 1075.0;duodenum: 577.9;rectum: 961.7	seminal vesicle: 185.8	Cell line enhanced	NA	RPMI-8226: 1.9	Colon
SLC9A2	NHE2	ENSG00000115616	Solute carrier family 9 member A2	2	102619707-102711318	Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA035121, HPA035122	Approved	NA	Supported	Cell Junctions	NA	Mixed	Tissue enhanced	NA	colon: 20.5;rectum: 23.3;stomach: 25.7	testis: 10.7	Cell line enhanced	NA	A-431: 8.9;RT4: 13.9;SK-BR-3: 11.4;T-47d: 18.0	Colon
SLC9A3	NHE3	ENSG00000066230	Solute carrier family 9 member A3	5	473310-524332	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA036493, HPA036669	Enhanced	NA	Supported	Plasma membrane	Melanoma:8.49e-4 (unfavourable)	Mixed	Tissue enhanced	NA	colon: 80.9;gallbladder: 66.1;small intestine: 72.6	kidney: 57.3	Cell line enhanced	NA	HDLM-2: 30.4	Colon
ST6GALNAC1	SIAT7A, ST6GalNAcI	ENSG00000070526	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	17	76624761-76643838	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA014975	Uncertain	NA	NA	NA	Head and neck cancer:2.54e-5 (favourable)	Mixed	Tissue enhanced	NA	colon: 162.6;rectum: 235.5	cervix, uterine: 90.7	Cell line enhanced	NA	EFO-21: 9.1;HaCaT: 9.7;HEL: 16.1;K-562: 48.8	Colon
TFF3	HITF, ITF	ENSG00000160180	Trefoil factor 3	21	42311667-42315651	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB020681, HPA035464	Enhanced	NA	Approved	Nucleus<br>Nucleoli	Endometrial cancer:5.60e-6 (favourable)	Expressed in all	Tissue enhanced	NA	cervix, uterine: 470.7;colon: 496.2;rectum: 504.3;thyroid gland: 620.1	small intestine: 457.0	Cell line enhanced	NA	MCF7: 63.2;SCLC-21H: 28.3;T-47d: 35.0;TIME: 85.5	Colon
TMEM171	PRP2	ENSG00000157111	Transmembrane protein 171	5	73120292-73131817	Predicted membrane proteins	Evidence at protein level	HPA042308	Approved	NA	NA	NA	Renal cancer:3.93e-10 (favourable)	Mixed	Tissue enhanced	NA	colon: 32.4;rectum: 32.3;thyroid gland: 47.1	duodenum: 26.3	Cell line enhanced	NA	LHCN-M2: 48.9;WM-115: 161.7	Colon
TPSG1	PRSS31, TMT	ENSG00000116176	Tryptase gamma 1	16	1221651-1225257	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA060458	Enhanced	NA	NA	NA	Renal cancer:1.76e-8 (unfavourable)	Tissue enhanced	Tissue enhanced	NA	colon: 14.6;duodenum: 14.3;rectum: 9.5;small intestine: 10.5	ovary: 2.5	Group enriched	8	HMC-1: 20.4;MCF7: 6.0	Colon
TRABD2A	C2orf89, TIKI1	ENSG00000186854	TraB domain containing 2A	2	84821650-84907008	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA045817	Approved	NA	NA	NA	NA	Group enriched	Tissue enhanced	NA	colon: 35.4;ovary: 30.7;rectum: 43.1	lymph node: 11.7	Cell line enhanced	NA	BEWO: 38.1;HDLM-2: 29.0;hTEC/SVTERT24-B: 17.5;SiHa: 18.3	Colon
TRIM15	RNF93, ZNF178, ZNFB7	ENSG00000204610	Tripartite motif containing 15	6	30163206-30172696	Predicted intracellular proteins	Evidence at protein level	HPA047527	Uncertain	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	colon: 2.6;duodenum: 3.6	appendix,small intestine: 1.1	Cell line enriched	24	HEL: 15.2	Colon
TRPM6	CHAK2, FLJ22628, HOMG, HSH	ENSG00000119121	Transient receptor potential cation channel subfamily M member 6	9	74722495-74888094	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	NA	NA	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	colon: 13.1;rectum: 18.2	small intestine: 8.7	Cell line enhanced	NA	BEWO: 3.7;HeLa: 1.5;RT4: 3.0	Colon
TSPAN1	NET-1, TSPAN-1	ENSG00000117472	Tetraspanin 1	1	46175073-46185958	Predicted membrane proteins	Evidence at protein level	HPA011909	Approved	NA	Approved	Nucleoplasm<br>Vesicles	Renal cancer:9.28e-6 (favourable)	Expressed in all	Tissue enhanced	NA	colon: 525.0;rectum: 651.6	prostate: 311.2	Cell line enhanced	NA	CAPAN-2: 191.2;HaCaT: 134.4;hTCEpi: 125.3;RPTEC TERT1: 474.4;RT4: 246.2	Colon
TSPAN8	CO-029, TM4SF3	ENSG00000127324	Tetraspanin 8	12	71125085-71441898	Cancer-related genes, Predicted membrane proteins	Evidence at protein level	CAB026009, HPA044337	Enhanced	NA	Approved	Nucleoplasm	Urothelial cancer:7.36e-5 (favourable), Renal cancer:9.66e-5 (unfavourable)	Tissue enhanced	Tissue enhanced	NA	colon: 910.6;duodenum: 905.9;rectum: 911.5;small intestine: 909.2	stomach: 573.4	Cell line enhanced	NA	CACO-2: 36.0;HeLa: 34.8;PC-3: 151.7;RT4: 30.6	Colon
UGT1A10	UGT1J	ENSG00000242515	UDP glucuronosyltransferase family 1 member A10	2	233636454-233773305	Cancer-related genes, Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	Pancreatic cancer:4.55e-4 (unfavourable)	Tissue enhanced	Tissue enhanced	NA	colon: 49.7;duodenum: 80.9;small intestine: 59.1	rectum: 39.6	Cell line enriched	108	RT4: 416.9	Colon
UGT1A8	UGT1H	ENSG00000242366	UDP glucuronosyltransferase family 1 member A8	2	233617645-233773310	Enzymes, Predicted membrane proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	colon: 16.0;gallbladder: 10.3;rectum: 9.7;urinary bladder: 22.7	small intestine: 4.9	Cell line enriched	53	RT4: 96.7	Colon
UGT2B17	NA	ENSG00000197888	UDP glucuronosyltransferase family 2 member B17	4	68537184-68568527	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA045108	Supported	NA	NA	NA	NA	Group enriched	Tissue enhanced	NA	colon: 372.4;duodenum: 371.2;small intestine: 522.5	rectum: 151.7	Cell line enhanced	NA	RPMI-8226: 1.2	Colon
